transfer,sendCpuUtil,sendDiskUtil,sendProcNum,sendTransferCpu,recvCpuUtil,recvDiskUtil,recvProcNum,recvTransferCpu,dur,size,rate
60,7.83866666667,0.819831932773,145.596153846,7.485,99.9875,0.736134453782,218.574468085,20.1489361702,120.00,13.0G,928M
61,7.84708333333,0.843361344538,146.640776699,7.45050505051,99.9041666667,0.833613445378,239.225806452,18.5505376344,120.00,12.9G,927M
62,7.7385,0.785882352941,145.86407767,7.55555555556,100.0,0.810084033613,240.172043011,19.4365591398,120.00,13.0G,928M
63,7.79358333333,0.850420168067,144.980769231,7.503,99.9791666667,0.763025210084,236.333333333,19.2430107527,120.00,13.0G,928M
64,7.82466666667,0.819831932773,146.067961165,7.45656565657,100.0,0.836890756303,240.182795699,17.9806451613,120.00,13.0G,929M
65,7.6505,0.736134453782,145.689320388,8.40505050505,100.0,0.756302521008,239.064516129,17.9720430108,120.00,13.0G,929M
66,7.46208333333,0.813445378151,145.524271845,7.668,99.8958333333,0.779831932773,237.021505376,17.7870967742,120.00,13.0G,928M
67,7.68891666667,0.786554621849,145.72815534,7.51414141414,100.0,0.826890756303,238.741935484,18.1559139785,120.00,13.0G,929M
68,7.92916666667,0.907058823529,145.961538462,7.936,100.0,0.803361344538,240.172043011,17.6516129032,120.00,13.0G,929M
69,8.17783333333,0.845546218487,146.786407767,8.219,99.9748333333,0.873949579832,239.569892473,18.8258064516,120.00,13.0G,929M
70,7.84191666667,0.869831932773,145.970873786,7.662,99.9874166667,0.8,237.301075269,19.1258064516,120.00,13.0G,928M
71,100.0,0.752773109244,206.0625,8.84065934066,100.0,0.810084033613,200.793814433,18.9927835052,120.00,12.9G,926M
72,100.0,0.725714285714,207.842105263,10.0544444444,99.975,0.773109243697,200.71875,20.6427083333,120.00,12.9G,924M
73,100.0,0.726050420168,207.229166667,9.61888888889,100.0,0.843697478992,200.447916667,20.453125,120.00,12.9G,924M
74,99.8995,0.739495798319,205.552083333,9.25384615385,100.0,0.742857142857,200.75257732,21.2092783505,120.00,12.9G,924M
75,99.9204166667,0.840336134454,207.916666667,9.13296703297,100.0,0.826890756303,199.917525773,19.2824742268,120.00,12.9G,925M
76,100.0,0.749579831933,208.705263158,9.57802197802,100.0,0.803361344538,199.835051546,19.181443299,120.00,12.9G,924M
77,99.9916666667,0.806722689076,206.831578947,9.78333333333,99.9791666667,0.76974789916,200.96875,20.4322916667,120.00,12.9G,923M
78,100.0,0.8,208.568421053,9.42555555556,100.0,0.76974789916,200.587628866,19.7072164948,120.00,12.9G,925M
79,99.9291666667,0.850420168067,207.452631579,9.38222222222,99.9753333333,0.789915966387,202.364583333,19.8010416667,120.00,12.9G,925M
80,99.9791666667,0.759495798319,204.46875,9.25714285714,100.0,0.789915966387,201.71875,20.2864583333,120.00,12.9G,923M
81,99.9875,0.813445378151,228.138297872,8.98555555556,100.0,0.742857142857,219.473684211,20.2989473684,120.00,12.9G,923M
82,99.9579166667,0.813445378151,226.789473684,8.87555555556,99.9875,0.749579831933,220.021052632,19.6631578947,120.00,12.9G,922M
83,99.9623333333,0.931092436975,226.287234043,9.81685393258,100.0,0.884033613445,219.53125,19.7125,120.00,12.9G,924M
84,100.0,0.732773109244,225.936170213,9.2595505618,100.0,0.766386554622,221.052631579,19.9589473684,120.00,12.9G,924M
85,99.9545833333,0.752941176471,226.276595745,9.76111111111,100.0,0.763025210084,219.431578947,20.2515789474,120.00,12.9G,923M
86,99.9238333333,0.8,225.893617021,9.34269662921,99.9791666667,0.806722689076,218.666666667,20.1791666667,120.00,12.9G,924M
87,99.8921666667,0.763025210084,225.319148936,9.47222222222,100.0,0.843697478992,220.347368421,20.16,120.00,12.9G,924M
88,99.9916666667,0.765966386555,223.273684211,9.60555555556,99.9915833333,0.789915966387,220.263157895,18.9431578947,120.00,12.9G,923M
89,99.9916666667,0.759663865546,224.4,9.52666666667,100.0,0.763025210084,219.473684211,19.4389473684,120.00,12.9G,924M
90,99.9078333333,0.796638655462,225.936842105,9.24222222222,100.0,0.803361344538,219.791666667,19.3989583333,120.00,12.9G,926M
91,100.0,0.806386554622,224.168421053,9.36555555556,100.0,0.769579831933,219.768421053,20.1568421053,120.00,12.9G,925M
